Time,CPU Usage
39827.602136,2,5
39827.602182,2,3
39827.602228,2,3
39827.602275,17,2
39827.602321,15,5
39827.602367,10,4
39827.602413,2,5
39827.602460,2,3
39827.602506,2,7
39827.602552,3,1
39827.602598,2,1
39827.602645,1,6
39827.602691,0,8
39827.602737,17,6
39827.602785,27,3
39827.602830,29,8
39827.602876,9,4
39827.602923,0,6
39827.602969,9,1
39827.603015,10,7
39827.603062,13,3
39827.603108,11,5
39827.603154,6,7
39827.603200,12,5
39827.603247,2,3
39827.603293,1,0
39827.603385,0,0
