Time,Used
39827.591604,4522864
39827.591643,3838816
39827.591690,4080856
39827.591736,4362656
39827.591782,4617376
39827.591829,4947096
39827.591875,5126032
39827.591921,5669088
39827.591967,5613696
39827.592014,5902224
39827.592060,5651888
39827.592106,6074168
39827.592153,6166920
39827.592199,5650304
39827.592245,5650280
39827.592291,5982344
39827.592338,6375160
39827.592384,5639976
39827.592431,5626184
39827.592477,5801528
39827.592523,6318784
39827.592569,5837968
39827.592616,5822040
39827.592662,6074560
39827.592708,6203200
39827.592754,6136104
39827.592801,5573760
39827.592847,5549080
39827.592893,5847864
39827.592940,7326856
39827.593032,0
